height,nTime,nonce,nDifficulty,average_hash_calcualtions,targetHash
20400,1249165614,584856341,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
20600,1249510504,934966036,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
20800,1249715314,69256135,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
21000,1249908337,4111140104,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
21200,1250151477,3505939997,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
21400,1250710529,524251836,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
21600,1251410839,2085637914,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
21800,1251629422,470628239,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
22000,1251826171,1404749333,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
22200,1252097779,2028235809,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
22400,1252331681,2088585764,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
22600,1252607056,469320543,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
22800,1252855089,210791703,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
23000,1253121103,3546281760,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
23200,1253334857,1249802269,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
23400,1253568833,3990618919,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
23600,1253873034,3741543188,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
23800,1254057142,241804819,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
24000,1254257892,2962368537,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
24200,1254460339,299797277,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
24400,1254750088,3576597539,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
24600,1255054304,4223661598,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
24800,1255274887,2188600097,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
25000,1255562441,58357300,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
25200,1255832808,1139698876,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
25400,1256009966,3592319521,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
25600,1256213343,608157353,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
25800,1256433998,187819607,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
26000,1256681097,70081579,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
26200,1256974990,796624486,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
26400,1257369053,488707790,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
26600,1257642386,275322182,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
26800,1257891451,448553434,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
27000,1258140529,51592200,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
27200,1258331077,17223436,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
27400,1258516249,805129222,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
27600,1258740490,298894111,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
27800,1258935056,205385478,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
28000,1259116698,494681880,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
28200,1259323402,1536663557,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
28400,1259578893,368056085,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
28600,1259788392,114740101,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
28800,1260059629,46552746,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
29000,1260223785,1979928328,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
29200,1260396936,148567262,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
29400,1260540442,59949099,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
29600,1260715905,24012566,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
29800,1260869167,33610819,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
30000,1261007544,2747428616,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
30200,1261109171,123767494,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
30400,1261182863,20079082,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
30600,1261273503,3008829184,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
30800,1261367313,555161778,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
31000,1261471970,71306090,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
31200,1261573765,45454349,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
31400,1261692383,475170107,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
31600,1261807072,4264095511,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
31800,1261911870,97313420,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
32000,1262025496,139894960,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
32200,1262126814,36865387,1,4295032832,00000000ffff0000000000000000000000000000000000000000000000000000
32400,1262243767,70783001,1,5080592338,00000000d86a0000000000000000000000000000000000000000000000000000
32600,1262375972,97653854,1,5080592338,00000000d86a0000000000000000000000000000000000000000000000000000
32800,1262509948,31108817,1,5080592338,00000000d86a0000000000000000000000000000000000000000000000000000
33000,1262590228,1393954566,1,5080592338,00000000d86a0000000000000000000000000000000000000000000000000000
33200,1262684218,3542065159,1,5080592338,00000000d86a0000000000000000000000000000000000000000000000000000
33400,1262782656,163840339,1,5080592338,00000000d86a0000000000000000000000000000000000000000000000000000
33600,1262891876,66163543,1,5080592338,00000000d86a0000000000000000000000000000000000000000000000000000
33800,1263003723,1027669,1,5080592338,00000000d86a0000000000000000000000000000000000000000000000000000
34000,1263115446,184708140,1,5080592338,00000000d86a0000000000000000000000000000000000000000000000000000
34200,1263212954,14188995,1,5080592338,00000000d86a0000000000000000000000000000000000000000000000000000
34400,1263318501,268729712,1,5605284704,00000000c4280000000000000000000000000000000000000000000000000000
34600,1263425094,15809334,1,5605284704,00000000c4280000000000000000000000000000000000000000000000000000
34800,1263545925,25864309,1,5605284704,00000000c4280000000000000000000000000000000000000000000000000000
35000,1263674879,121950785,1,5605284704,00000000c4280000000000000000000000000000000000000000000000000000
35200,1263807363,3266345500,1,5605284704,00000000c4280000000000000000000000000000000000000000000000000000
35400,1263951716,204165869,1,5605284704,00000000c4280000000000000000000000000000000000000000000000000000
35600,1264058920,187615501,1,5605284704,00000000c4280000000000000000000000000000000000000000000000000000
35800,1264163896,3815616263,1,5605284704,00000000c4280000000000000000000000000000000000000000000000000000
36000,1264280210,323931770,1,5605284704,00000000c4280000000000000000000000000000000000000000000000000000
36200,1264391397,149788318,1,5605284704,00000000c4280000000000000000000000000000000000000000000000000000
36400,1264473342,503203888,1,5773490384,00000000be710000000000000000000000000000000000000000000000000000
36600,1264560670,382662140,1,5773490384,00000000be710000000000000000000000000000000000000000000000000000
36800,1264668367,36166051,1,5773490384,00000000be710000000000000000000000000000000000000000000000000000
37000,1264758019,328370500,1,5773490384,00000000be710000000000000000000000000000000000000000000000000000
37200,1264847352,172058106,1,5773490384,00000000be710000000000000000000000000000000000000000000000000000
37400,1264931989,11203607,1,5773490384,00000000be710000000000000000000000000000000000000000000000000000
37600,1265030514,347499516,1,5773490384,00000000be710000000000000000000000000000000000000000000000000000
37800,1265145356,446658219,1,5773490384,00000000be710000000000000000000000000000000000000000000000000000
38000,1265213576,189716846,1,5773490384,00000000be710000000000000000000000000000000000000000000000000000
38200,1265288418,175334393,1,5773490384,00000000be710000000000000000000000000000000000000000000000000000
38400,1265360099,3724058625,1,7811155174,000000008cc30000000000000000000000000000000000000000000000000000
38600,1265438877,178121917,1,7811155174,000000008cc30000000000000000000000000000000000000000000000000000
38800,1265533959,443417583,1,7811155174,000000008cc30000000000000000000000000000000000000000000000000000
39000,1265605141,992498947,1,7811155174,000000008cc30000000000000000000000000000000000000000000000000000
39200,1265691088,1609927432,1,7811155174,000000008cc30000000000000000000000000000000000000000000000000000
39400,1265776309,35313439,1,7811155174,000000008cc30000000000000000000000000000000000000000000000000000
39600,1265883641,160842508,1,7811155174,000000008cc30000000000000000000000000000000000000000000000000000
39800,1265982364,19804516,1,7811155174,000000008cc30000000000000000000000000000000000000000000000000000
40000,1266062664,3474096156,1,7811155174,000000008cc30000000000000000000000000000000000000000000000000000
40200,1266144395,295389863,1,7811155174,000000008cc30000000000000000000000000000000000000000000000000000
40400,1266231791,306398683,2,10856718626,0000000065465700000000000000000000000000000000000000000000000000
40600,1266327938,158013236,2,10856718626,0000000065465700000000000000000000000000000000000000000000000000
40800,1266408262,54628530,2,10856718626,0000000065465700000000000000000000000000000000000000000000000000
41000,1266481780,56868235,2,10856718626,0000000065465700000000000000000000000000000000000000000000000000
41200,1266566983,3029840130,2,10856718626,0000000065465700000000000000000000000000000000000000000000000000
41400,1266651107,129254397,2,10856718626,0000000065465700000000000000000000000000000000000000000000000000
41600,1266726915,315042287,2,10856718626,0000000065465700000000000000000000000000000000000000000000000000
41800,1266809476,72871991,2,10856718626,0000000065465700000000000000000000000000000000000000000000000000
42000,1266878373,84734110,2,10856718626,0000000065465700000000000000000000000000000000000000000000000000
42200,1266945870,107693511,2,10856718626,0000000065465700000000000000000000000000000000000000000000000000
42400,1267033736,155340117,3,16240289034,0000000043b3e500000000000000000000000000000000000000000000000000
42600,1267144270,149326198,3,16240289034,0000000043b3e500000000000000000000000000000000000000000000000000
42800,1267247476,2308885274,3,16240289034,0000000043b3e500000000000000000000000000000000000000000000000000
43000,1267344579,78584063,3,16240289034,0000000043b3e500000000000000000000000000000000000000000000000000
43200,1267445544,77563365,3,16240289034,0000000043b3e500000000000000000000000000000000000000000000000000
43400,1267536497,52591200,3,16240289034,0000000043b3e500000000000000000000000000000000000000000000000000
43600,1267642637,152889671,3,16240289034,0000000043b3e500000000000000000000000000000000000000000000000000
43800,1267739629,15003995,3,16240289034,0000000043b3e500000000000000000000000000000000000000000000000000
44000,1267837351,3590097417,3,16240289034,0000000043b3e500000000000000000000000000000000000000000000000000
44200,1267942789,168262345,3,16240289034,0000000043b3e500000000000000000000000000000000000000000000000000
44400,1268045787,36719011,4,19461144884,00000000387f6f00000000000000000000000000000000000000000000000000
44600,1268168620,164297383,4,19461144884,00000000387f6f00000000000000000000000000000000000000000000000000
44800,1268282841,889536471,4,19461144884,00000000387f6f00000000000000000000000000000000000000000000000000
45000,1268419114,1299615251,4,19461144884,00000000387f6f00000000000000000000000000000000000000000000000000
45200,1268534707,50980350,4,19461144884,00000000387f6f00000000000000000000000000000000000000000000000000
45400,1268675502,223345606,4,19461144884,00000000387f6f00000000000000000000000000000000000000000000000000
45600,1268802826,374923780,4,19461144884,00000000387f6f00000000000000000000000000000000000000000000000000
45800,1268921956,254246445,4,19461144884,00000000387f6f00000000000000000000000000000000000000000000000000
46000,1269043491,40754730,4,19461144884,00000000387f6f00000000000000000000000000000000000000000000000000
46200,1269134655,3149493,4,19461144884,00000000387f6f00000000000000000000000000000000000000000000000000
46400,1269230495,120024465,4,19607524586,0000000038137500000000000000000000000000000000000000000000000000
46600,1269322497,383223015,4,19607524586,0000000038137500000000000000000000000000000000000000000000000000
46800,1269411975,205119206,4,19607524586,0000000038137500000000000000000000000000000000000000000000000000
47000,1269508184,238934491,4,19607524586,0000000038137500000000000000000000000000000000000000000000000000
47200,1269603521,16828489,4,19607524586,0000000038137500000000000000000000000000000000000000000000000000
47400,1269696658,89727809,4,19607524586,0000000038137500000000000000000000000000000000000000000000000000
47600,1269787065,68992394,4,19607524586,0000000038137500000000000000000000000000000000000000000000000000
47800,1269877160,50552934,4,19607524586,0000000038137500000000000000000000000000000000000000000000000000
48000,1269957904,261374738,4,19607524586,0000000038137500000000000000000000000000000000000000000000000000
48200,1270039234,149209172,4,19607524586,0000000038137500000000000000000000000000000000000000000000000000
48400,1270131549,2648212502,6,26137323114,000000002a111500000000000000000000000000000000000000000000000000
48600,1270242202,191537907,6,26137323114,000000002a111500000000000000000000000000000000000000000000000000
48800,1270349045,956722457,6,26137323114,000000002a111500000000000000000000000000000000000000000000000000
49000,1270446498,246777535,6,26137323114,000000002a111500000000000000000000000000000000000000000000000000
49200,1270563188,467288114,6,26137323114,000000002a111500000000000000000000000000000000000000000000000000
49400,1270657169,5369019,6,26137323114,000000002a111500000000000000000000000000000000000000000000000000
49600,1270745367,86950189,6,26137323114,000000002a111500000000000000000000000000000000000000000000000000
49800,1270844373,255088939,6,26137323114,000000002a111500000000000000000000000000000000000000000000000000
50000,1270916538,58489010,6,26137323114,000000002a111500000000000000000000000000000000000000000000000000
50200,1270984023,87418220,6,26137323114,000000002a111500000000000000000000000000000000000000000000000000
50400,1271061586,92378497,7,33586284832,0000000020bca700000000000000000000000000000000000000000000000000
50600,1271157302,235761255,7,33586284832,0000000020bca700000000000000000000000000000000000000000000000000
50800,1271248615,169796032,7,33586284832,0000000020bca700000000000000000000000000000000000000000000000000
51000,1271334140,126726865,7,33586284832,0000000020bca700000000000000000000000000000000000000000000000000
51200,1271419619,39948087,7,33586284832,0000000020bca700000000000000000000000000000000000000000000000000
51400,1271499317,27682505,7,33586284832,0000000020bca700000000000000000000000000000000000000000000000000
51600,1271573897,166044,7,33586284832,0000000020bca700000000000000000000000000000000000000000000000000
51800,1271647507,110157547,7,33586284832,0000000020bca700000000000000000000000000000000000000000000000000
52000,1271721163,17139492,7,33586284832,0000000020bca700000000000000000000000000000000000000000000000000
52200,1271806518,70607526,7,33586284832,0000000020bca700000000000000000000000000000000000000000000000000
52400,1271883421,98682352,7,33586284832,0000000020bca700000000000000000000000000000000000000000000000000
52600,1271993495,62382528,11,49239612792,0000000016546f00000000000000000000000000000000000000000000000000
52800,1272105543,8337725,11,49239612792,0000000016546f00000000000000000000000000000000000000000000000000
53000,1272209386,114187026,11,49239612792,0000000016546f00000000000000000000000000000000000000000000000000
53200,1272315188,3623477781,11,49239612792,0000000016546f00000000000000000000000000000000000000000000000000
53400,1272409956,182430068,11,49239612792,0000000016546f00000000000000000000000000000000000000000000000000
53600,1272506002,4199456257,11,49239612792,0000000016546f00000000000000000000000000000000000000000000000000
53800,1272625364,76684705,11,49239612792,0000000016546f00000000000000000000000000000000000000000000000000
54000,1272735730,14226050,11,49239612792,0000000016546f00000000000000000000000000000000000000000000000000
54200,1272835493,56641086,11,49239612792,0000000016546f00000000000000000000000000000000000000000000000000
54400,1272949292,318972174,11,49239612792,0000000016546f00000000000000000000000000000000000000000000000000
54600,1273074078,195341286,12,55187663496,0000000013ec5300000000000000000000000000000000000000000000000000
54800,1273194221,2101555,12,55187663496,0000000013ec5300000000000000000000000000000000000000000000000000
55000,1273324602,481680977,12,55187663496,0000000013ec5300000000000000000000000000000000000000000000000000
55200,1273436279,40149130,12,55187663496,0000000013ec5300000000000000000000000000000000000000000000000000
55400,1273568133,12785521,12,55187663496,0000000013ec5300000000000000000000000000000000000000000000000000
55600,1273719142,47740202,12,55187663496,0000000013ec5300000000000000000000000000000000000000000000000000
55800,1273854341,56544202,12,55187663496,0000000013ec5300000000000000000000000000000000000000000000000000
56000,1274025429,3558021267,12,55187663496,0000000013ec5300000000000000000000000000000000000000000000000000
56200,1274145043,239526576,12,55187663496,0000000013ec5300000000000000000000000000000000000000000000000000
56400,1274249485,480579042,12,55187663496,0000000013ec5300000000000000000000000000000000000000000000000000
56600,1274350670,256096842,11,50879938850,00000000159c2400000000000000000000000000000000000000000000000000
56800,1274440910,931598493,11,50879938850,00000000159c2400000000000000000000000000000000000000000000000000
57000,1274533764,177161784,11,50879938850,00000000159c2400000000000000000000000000000000000000000000000000
57200,1274616728,161078648,11,50879938850,00000000159c2400000000000000000000000000000000000000000000000000
57400,1274706191,406219471,11,50879938850,00000000159c2400000000000000000000000000000000000000000000000000
57600,1274789316,32181219,11,50879938850,00000000159c2400000000000000000000000000000000000000000000000000
57800,1274867555,122846189,11,50879938850,00000000159c2400000000000000000000000000000000000000000000000000
58000,1274953850,60885458,11,50879938850,00000000159c2400000000000000000000000000000000000000000000000000
58200,1275036999,107080791,11,50879938850,00000000159c2400000000000000000000000000000000000000000000000000
58400,1275118205,14312979,11,50879938850,00000000159c2400000000000000000000000000000000000000000000000000
58600,1275225869,62977293,16,71379488892,000000000f675c00000000000000000000000000000000000000000000000000
58800,1275337159,108984912,16,71379488892,000000000f675c00000000000000000000000000000000000000000000000000
59000,1275468112,298068037,16,71379488892,000000000f675c00000000000000000000000000000000000000000000000000
59200,1275584278,385789513,16,71379488892,000000000f675c00000000000000000000000000000000000000000000000000
59400,1275710201,241364115,16,71379488892,000000000f675c00000000000000000000000000000000000000000000000000
59600,1275826227,110888903,16,71379488892,000000000f675c00000000000000000000000000000000000000000000000000
59800,1275938053,159812651,16,71379488892,000000000f675c00000000000000000000000000000000000000000000000000
60000,1276050147,198283573,16,71379488892,000000000f675c00000000000000000000000000000000000000000000000000
60200,1276150544,311876172,16,71379488892,000000000f675c00000000000000000000000000000000000000000000000000
60400,1276259791,186981311,16,71379488892,000000000f675c00000000000000000000000000000000000000000000000000
60600,1276376693,4059095520,17,74654062324,000000000eba6400000000000000000000000000000000000000000000000000
60800,1276477821,249000718,17,74654062324,000000000eba6400000000000000000000000000000000000000000000000000
61000,1276584133,354800830,17,74654062324,000000000eba6400000000000000000000000000000000000000000000000000
61200,1276680210,2740587862,17,74654062324,000000000eba6400000000000000000000000000000000000000000000000000
61400,1276808363,58691573,17,74654062324,000000000eba6400000000000000000000000000000000000000000000000000
61600,1276919153,45918921,17,74654062324,000000000eba6400000000000000000000000000000000000000000000000000
61800,1277032873,275288185,17,74654062324,000000000eba6400000000000000000000000000000000000000000000000000
62000,1277131309,8001550,17,74654062324,000000000eba6400000000000000000000000000000000000000000000000000
62200,1277239500,253881624,17,74654062324,000000000eba6400000000000000000000000000000000000000000000000000
62400,1277336905,36321308,17,74654062324,000000000eba6400000000000000000000000000000000000000000000000000
62600,1277439688,4134453265,19,83344237348,000000000d314200000000000000000000000000000000000000000000000000
62800,1277550671,72125734,19,83344237348,000000000d314200000000000000000000000000000000000000000000000000
63000,1277658575,21929252,19,83344237348,000000000d314200000000000000000000000000000000000000000000000000
63200,1277763033,9373525,19,83344237348,000000000d314200000000000000000000000000000000000000000000000000
