height,fee,numberTXs,nTime,date_str,nonce,nbits,nDifficulty,average_hash_calcualtions,blockhash,targetHash
490,0,1,1231962298,Wed 14 Jan 2009 19:44:58 GMT,12258726,486604799,1,4295032832,0000000020b23d4bcb733afc7c28ad9eff58e1f8108a15bfd8477cbdcb9bf3a0,00000000ffff0000000000000000000000000000000000000000000000000000
500,0,1,1231968449,Wed 14 Jan 2009 21:27:29 GMT,2063568441,486604799,1,4295032832,000000004ff664bfa7d217f6df64c1627089061429408e1da5ef903b8f3c77db,00000000ffff0000000000000000000000000000000000000000000000000000
510,0,1,1231975169,Wed 14 Jan 2009 23:19:29 GMT,1811090708,486604799,1,4295032832,00000000af4a7f5131596697800a0014c668ae7f8385ce023c270dbce8844884,00000000ffff0000000000000000000000000000000000000000000000000000
520,0,1,1231982359,Thu 15 Jan 2009 01:19:19 GMT,892411671,486604799,1,4295032832,00000000d9934c6ea6d0ab6c209227622bab36973bf2f8519d56de8e490c5381,00000000ffff0000000000000000000000000000000000000000000000000000
530,0,1,1231988141,Thu 15 Jan 2009 02:55:41 GMT,1051285555,486604799,1,4295032832,0000000012ac8aedef5fb255a9a01f52d2292c5af21c737eaba1ef05e2c9c136,00000000ffff0000000000000000000000000000000000000000000000000000
540,0,1,1231995328,Thu 15 Jan 2009 04:55:28 GMT,3139314232,486604799,1,4295032832,000000001958fb614e3eed2ab35305fa89a8b8db9bb5fd2575aa08fc0a06b84f,00000000ffff0000000000000000000000000000000000000000000000000000
550,0,1,1232002581,Thu 15 Jan 2009 06:56:21 GMT,3972065590,486604799,1,4295032832,00000000314ff43c77573a3b8094951ce4b0f86aceee65e226914eb737ada575,00000000ffff0000000000000000000000000000000000000000000000000000
560,0,1,1232010874,Thu 15 Jan 2009 09:14:34 GMT,3760901936,486604799,1,4295032832,00000000b5b71fea3e2abdf62fdc6b1273f48927f2a9ed5493e280792a50ad65,00000000ffff0000000000000000000000000000000000000000000000000000
570,0,1,1232016648,Thu 15 Jan 2009 10:50:48 GMT,2076052266,486604799,1,4295032832,00000000bd2f9e06fe89f7ac4edb2c664b069935c7e983cd51d40ea368910a49,00000000ffff0000000000000000000000000000000000000000000000000000
580,0,1,1232024017,Thu 15 Jan 2009 12:53:37 GMT,4212131640,486604799,1,4295032832,00000000dd9588e8b12025e5257267abe0e9134d493ab3b449a47db8d22567d2,00000000ffff0000000000000000000000000000000000000000000000000000
590,0,1,1232032931,Thu 15 Jan 2009 15:22:11 GMT,4205831466,486604799,1,4295032832,000000008ba08cce0c4845673a55800603a6e24be4c9977bc977fbb359db0078,00000000ffff0000000000000000000000000000000000000000000000000000
600,0,1,1232038747,Thu 15 Jan 2009 16:59:07 GMT,2396589880,486604799,1,4295032832,00000000c7f956a913bbef9c94f517c318805821b59ea6227175f3841792ea88,00000000ffff0000000000000000000000000000000000000000000000000000
610,0,1,1232044039,Thu 15 Jan 2009 18:27:19 GMT,1532060206,486604799,1,4295032832,00000000efe4090f8b075603d047b16ea2d2c23eea6027a1b13f05c829b28588,00000000ffff0000000000000000000000000000000000000000000000000000
620,0,1,1232050140,Thu 15 Jan 2009 20:09:00 GMT,1881029892,486604799,1,4295032832,00000000beecc05104c1cf910a44524f717be71686f339b751824aa0e76ad313,00000000ffff0000000000000000000000000000000000000000000000000000
630,0,1,1232056478,Thu 15 Jan 2009 21:54:38 GMT,539073568,486604799,1,4295032832,00000000204da74cb20af67449c889b7bbb19f53d5387f999f875d8a1325de57,00000000ffff0000000000000000000000000000000000000000000000000000
640,0,1,1232063044,Thu 15 Jan 2009 23:44:04 GMT,2887291155,486604799,1,4295032832,0000000010e9b57889d2eb77bb99a44cf06e1a80d0b1d18cc599bd472b335bcc,00000000ffff0000000000000000000000000000000000000000000000000000
650,0,1,1232069443,Fri 16 Jan 2009 01:30:43 GMT,1715125028,486604799,1,4295032832,00000000d3ebca0f1cf140987959ba9231e9da43f3f76aed02d0cfe9d88b71d7,00000000ffff0000000000000000000000000000000000000000000000000000
660,0,1,1232074673,Fri 16 Jan 2009 02:57:53 GMT,1735193601,486604799,1,4295032832,00000000ef6644f79c0e3363c0359de10bc485d9d032af7c8097b325b54a2497,00000000ffff0000000000000000000000000000000000000000000000000000
670,0,1,1232083261,Fri 16 Jan 2009 05:21:01 GMT,868994351,486604799,1,4295032832,00000000bb7f77903d7ebcd8849cc4c6570bbd52e623f6ee341e8e67241251fc,00000000ffff0000000000000000000000000000000000000000000000000000
